date,close
5/1/2012 12:00:00 AM,582.13
4/9/2012 12:00:00 AM,636.23
4/5/2012 12:00:00 AM,633.68
4/4/2012 12:00:00 AM,624.31
4/3/2012 12:00:00 AM,629.32
4/2/2012 12:00:00 AM,618.63
3/9/2012 12:00:00 AM,545.17
3/8/2012 12:00:00 AM,541.99
3/7/2012 12:00:00 AM,530.69
3/6/2012 12:00:00 AM,530.26
3/5/2012 12:00:00 AM,533.16
3/2/2012 12:00:00 AM,545.18
3/1/2012 12:00:00 AM,544.47
2/9/2012 12:00:00 AM,493.17
2/8/2012 12:00:00 AM,476.68
2/7/2012 12:00:00 AM,468.83
2/6/2012 12:00:00 AM,463.97
2/3/2012 12:00:00 AM,459.68
2/2/2012 12:00:00 AM,455.12
2/1/2012 12:00:00 AM,456.19
